geography,year,dataset,geoid,county_name,state_fips,county_fips,total_population_est,total_households_est,median_household_income_est,per_capita_income_est,poverty_universe_est,below_poverty_est,housing_units_est,occupancy_universe_est,occupied_units_est,vacant_units_est,tenure_universe_est,owner_occupied_est,renter_occupied_est,median_home_value_est,median_gross_rent_est,mortgage_status_universe_est,with_mortgage_est,without_mortgage_est,median_owner_cost_with_mortgage_est,median_owner_cost_without_mortgage_est,rent_pct_income_universe_est,rent_30_34_est,rent_35_39_est,rent_40_49_est,rent_50p_est,mortgage_pct_income_universe_est,mortgage_30_34_est,mortgage_35_39_est,mortgage_40_49_est,mortgage_50p_est,total_population_moe,total_households_moe,median_household_income_moe,per_capita_income_moe,poverty_universe_moe,below_poverty_moe,housing_units_moe,occupancy_universe_moe,occupied_units_moe,vacant_units_moe,tenure_universe_moe,owner_occupied_moe,renter_occupied_moe,median_home_value_moe,median_gross_rent_moe,mortgage_status_universe_moe,with_mortgage_moe,without_mortgage_moe,median_owner_cost_with_mortgage_moe,median_owner_cost_without_mortgage_moe,rent_pct_income_universe_moe,rent_30_34_moe,rent_35_39_moe,rent_40_49_moe,rent_50p_moe,mortgage_pct_income_universe_moe,mortgage_30_34_moe,mortgage_35_39_moe,mortgage_40_49_moe,mortgage_50p_moe,poverty_rate,owner_rate,renter_rate,vacant_units,vacancy_rate,affordable_monthly_30pct_income,rent_pressure,mortgage_share,owner_cost_pressure_with_mortgage,owner_cost_pressure_without_mortgage,rent_burden_30p,rent_burden_50p,mortgage_burden_30p,mortgage_burden_50p
county,2021,acs1,25011,"Franklin County, Massachusetts",25,011,71015,30374,69771,38146,69734,6945,34439,34439,30374,4065,30374,21705,8669,286000,1048,21705,13323,8382,1686,645,8669,799,473,838,1993,13323,812,552,1136,1595,,940,4344,1795,594,1803,383,383,940,897,940,1144,1212,14950,88,1144,1200,855,93,23,1212,434,275,446,735,1200,357,245,547,492,0.099593,0.714591,0.285409,4065,0.118035,1744.27,0.600823,0.613822,0.966591,0.369781,0.473296,0.229900,0.307363,0.119718
county,2021,acs1,25013,"Hampden County, Massachusetts",25,013,462718,184544,61747,33311,448892,77756,197311,197311,184544,12767,184544,113645,70899,259100,999,113645,75460,38185,1650,707,70899,5605,4174,4729,18540,75460,6046,4228,5484,9441,,2205,2198,1133,2051,6239,928,928,2205,2089,2205,3541,3436,6162,56,3541,3254,2679,36,25,3436,1384,1393,1338,2299,3254,1233,1088,1420,1565,0.173218,0.615815,0.384185,12767,0.064705,1543.67,0.647157,0.663998,1.068878,0.457998,0.466128,0.261499,0.333939,0.125113
county,2021,acs1,25017,"Middlesex County, Massachusetts",25,017,1614742,632831,112764,60478,1558222,120637,663629,663629,632831,30798,632831,393249,239582,640500,1874,393249,269747,123502,2761,1031,239582,19312,16109,20291,51431,269747,16233,13153,12884,31992,,3283,2647,913,4058,9553,1628,1628,3283,2957,3283,6736,6410,6304,33,6736,6940,4311,40,24,6410,2673,2513,2808,4525,6940,1941,1983,1850,3148,0.077420,0.621412,0.378588,30798,0.046408,2819.10,0.664751,0.685945,0.979391,0.365720,0.447208,0.214670,0.275302,0.118600
county,2021,acs1,25023,"Plymouth County, Massachusetts",25,023,533003,202084,100082,50934,521122,37381,216253,216253,202084,14169,202084,160130,41954,470500,1433,160130,111697,48433,2356,900,41954,3662,4220,4617,11229,111697,6870,5206,6325,12984,,2543,3319,1810,2893,5612,1085,1085,2543,2371,2543,3893,3574,8326,79,3893,3927,3035,42,31,3574,1020,1249,1252,2132,3927,1390,1188,1523,1775,0.071732,0.792393,0.207607,14169,0.065520,2502.05,0.572730,0.697539,0.941628,0.359705,0.565572,0.267650,0.280983,0.116243
county,2021,acs1,25025,"Suffolk County, Massachusetts",25,025,771245,315257,78155,48030,725600,135921,353845,353845,315257,38588,315257,114409,200848,636800,1788,114409,81599,32810,2546,846,200848,20671,13903,15638,51618,81599,4786,5161,5242,13639,,4266,3900,1809,4485,9886,2036,2036,4266,4036,4266,4650,5302,15174,39,4650,4052,2728,101,40,5302,2677,2139,2413,3714,4052,1249,1229,1499,1884,0.187322,0.362907,0.637093,38588,0.109053,1953.88,0.915105,0.713222,1.303052,0.432986,0.507000,0.257000,0.353289,0.167147
county,2021,acs1,25027,"Worcester County, Massachusetts",25,027,862029,333435,84952,41994,834498,83039,353841,353841,333435,20406,333435,223389,110046,365700,1197,223389,155260,68129,2019,795,110046,10319,6576,10372,24508,155260,9559,6314,6784,15857,,3137,2579,1027,3083,8818,1198,1198,3137,2789,3137,4742,4603,5075,35,4742,4821,3614,41,17,4603,2076,1608,1949,2976,4821,1394,1282,1363,2179,0.099508,0.669963,0.330037,20406,0.057670,2123.80,0.563612,0.695021,0.950654,0.374329,0.470485,0.222707,0.248061,0.102132
county,2022,acs1,25001,"Barnstable County, Massachusetts",25,001,232457,107187,91438,60367,229118,15801,166131,166131,107187,58944,107187,88065,19122,631000,1573,88065,48582,39483,2299,903,19122,2168,1017,1287,5744,48582,3284,2492,3035,9352,,4105,6454,3546,805,3448,36,36,4105,4108,4105,3527,2409,18115,131,3527,3500,3149,89,43,2409,733,533,796,1286,3500,952,862,894,1732,0.068964,0.821602,0.178398,58944,0.354804,2285.95,0.688117,0.551661,1.005709,0.395022,0.534254,0.300387,0.373863,0.192499
county,2022,acs1,25003,"Berkshire County, Massachusetts",25,003,127859,58370,74176,48913,122768,14579,70149,70149,58370,11779,58370,40855,17515,307800,968,40855,24695,16160,1681,718,17515,1228,1761,522,4421,24695,1574,963,1006,3753,,1656,7878,3937,299,3187,63,63,1656,1642,1656,1788,2048,14039,80,1788,1874,1671,67,58,2048,720,1104,334,1192,1874,579,443,413,987,0.118752,0.699931,0.300069,11779,0.167914,1854.40,0.522002,0.604455,0.906493,0.387187,0.452869,0.252412,0.295444,0.151974
county,2022,acs1,25005,"Bristol County, Massachusetts",25,005,580068,233194,81551,42776,567218,65011,245044,245044,233194,11850,233194,144202,88992,432000,1125,144202,93808,50394,2177,796,88992,9241,4868,6516,20688,93808,5707,4296,5203,11401,,2272,4604,1237,1176,6727,127,127,2272,2285,2272,4640,4552,6826,35,4640,4078,3227,46,22,4552,1788,1254,1448,2730,4078,1325,1266,1203,1794,0.114614,0.618378,0.381622,11850,0.048359,2038.77,0.551802,0.650532,1.067798,0.390431,0.464233,0.232470,0.283633,0.121535
county,2022,acs1,25009,"Essex County, Massachusetts",25,009,806765,314003,92413,51246,790349,77078,330161,330161,314003,16158,314003,201088,112915,580800,1694,201088,140540,60548,2598,987,112915,9839,7361,12921,32886,140540,11097,6988,9460,19680,,2654,3064,1189,1261,6976,167,167,2654,2696,2654,4147,4255,11131,46,4147,4754,3532,53,27,4255,1869,1256,2246,3252,4754,2123,1551,1524,2654,0.097524,0.640402,0.359598,16158,0.048940,2310.32,0.733230,0.698898,1.124517,0.427213,0.558004,0.291246,0.336025,0.140031
